State,NAICS,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,GrAppv,NAICS_Sector,State_Points,NAICS_Sector_Points,Log_GrAppv,Guarantee_Ratio,Term_Years,IsCreateJob,IsRetained,IsFranchise,LowDoc_Binary,NewExist_Clean
IN,524291,84,3,1.0,0,3,0,2,N,N,100000.0,52,2,1,11.51293546492023,0.9,7,0.0,1.0,0.0,0.0,1.0
IN,519130,84,11,1.0,2,11,0,1,Y,N,150000.0,51,2,1,11.918397239722838,0.5,7,1.0,1.0,0.0,0.0,1.0
NY,238990,120,4,1.0,4,8,0,1,N,N,230000.0,23,1,2,12.345838935721968,0.5,10,1.0,1.0,0.0,0.0,1.0
MD,541191,60,1,2.0,0,1,0,1,Y,N,30000.0,54,2,4,10.308985993422082,0.5,5,0.0,1.0,0.0,0.0,2.0
TX,561410,13,1,1.0,0,1,0,1,N,N,50200.0,56,2,2,10.823790225800138,0.9,1,0.0,1.0,0.0,0.0,1.0
IA,541511,84,1,1.0,0,1,0,1,N,N,25000.0,54,5,4,10.12667110305036,0.9,7,0.0,1.0,0.0,0.0,1.0
KY,452990,23,0,2.0,2,0,470,2,Y,N,138000.0,45,2,2,11.835016210489899,0.5,1,1.0,0.0,1.0,0.0,2.0
IL,311320,120,65,1.0,0,65,0,1,N,N,1500000.0,31,1,3,14.220976332738882,0.9,10,0.0,1.0,0.0,0.0,1.0
VA,541611,60,6,1.0,0,6,0,1,N,N,25000.0,54,2,4,10.12667110305036,0.9,5,0.0,1.0,0.0,0.0,1.0
IL,238160,60,10,1.0,0,10,0,1,N,N,51500.0,23,1,2,10.849356503939038,0.5,5,0.0,1.0,0.0,0.0,1.0
CA,339950,120,5,2.0,5,0,0,1,N,N,307800.0,33,2,4,12.637208749244536,0.9,10,1.0,0.0,0.0,0.0,2.0
WI,442110,72,7,1.0,0,7,0,1,N,N,35000.0,44,4,2,10.463131911491967,1.0,6,0.0,1.0,0.0,0.0,1.0
OH,722320,60,0,1.0,0,0,0,1,N,N,7000.0,72,3,3,8.853808274977197,0.5,5,0.0,0.0,0.0,0.0,1.0
MA,541512,60,8,1.0,2,8,0,1,Y,N,100000.0,54,4,4,11.51293546492023,0.5,5,1.0,1.0,0.0,0.0,1.0
ME,811111,60,2,1.0,0,2,0,2,N,N,135000.0,81,5,3,11.813037464800539,0.5,5,0.0,1.0,0.0,0.0,1.0
MA,722211,60,1,2.0,0,1,0,2,N,N,25000.0,72,4,3,10.12667110305036,0.5,5,0.0,1.0,0.0,0.0,2.0
NH,813910,60,2,1.0,0,2,0,1,N,N,26000.0,81,5,3,10.165890277802454,0.5,5,0.0,1.0,0.0,0.0,1.0
NH,813910,84,2,1.0,0,2,0,1,Y,N,45000.0,81,5,3,10.714439990727769,0.5,7,0.0,1.0,0.0,0.0,1.0
MA,532299,60,3,1.0,0,3,0,1,N,N,144600.0,53,4,1,11.88173350431221,0.5,5,0.0,1.0,0.0,0.0,1.0
GA,323110,138,24,1.0,9,24,0,1,N,N,800000.0,32,1,4,13.592368256649284,0.7652,11,1.0,1.0,0.0,0.0,1.0
NY,332710,60,30,1.0,2,30,0,1,N,N,300000.0,33,1,4,12.611541086966115,0.9,5,1.0,1.0,0.0,0.0,1.0
TN,561311,84,0,2.0,10,10,0,1,Y,N,350000.0,56,1,2,12.765691290604371,0.5,7,1.0,1.0,0.0,0.0,2.0
TX,237310,9,5,1.0,0,5,0,1,Y,N,100000.0,23,2,2,11.51293546492023,0.5,0,0.0,1.0,0.0,0.0,1.0
IL,722110,60,9,1.0,0,9,0,1,N,N,18000.0,72,1,3,9.798182590890704,0.5,5,0.0,1.0,0.0,0.0,1.0
NY,541611,60,1,2.0,0,1,0,1,N,N,30000.0,54,1,4,10.308985993422082,0.5,5,0.0,1.0,0.0,0.0,2.0
CA,453998,69,2,1.0,5,2,0,1,N,N,15000.0,45,2,2,9.61587214452889,0.9,5,1.0,1.0,0.0,0.0,1.0
TX,812112,66,7,2.0,2,7,0,1,Y,N,50000.0,81,2,3,10.819798284210286,0.5,5,1.0,1.0,0.0,0.0,2.0
